county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid_19_community_level,date_updated
Coconino County,04005,Arizona,143476,699,"Maricopa (Phoenix), AZ - Pinal, AZ",5380796,1.2,3.8,115,Low,2022-05-05T07:00:00Z
Fayette County,13113,Georgia,114421,153,"Fulton (Atlanta), GA - DeKalb, GA",3830463,6.3,7.5,67.3,Low,2022-03-03T07:00:00Z
Turner County,46125,South Dakota,8384,544,"Minnehaha (Sioux Falls), SD - Lincoln, SD",335949,3.4,6,35.78,Low,2022-03-24T07:00:00Z
Coffee County,01031,Alabama,52342,162,"Houston (Dothan), AL - Dale, AL",277857,5,7.6,42.03,Low,2022-03-10T07:00:00Z
Prentiss County,28117,Mississippi,25126,418,"Lee, MS - Monroe, MS",186307,2.5,0.5,55.72,Low,2022-03-10T07:00:00Z
Etowah County,01055,Alabama,102268,224,"Etowah (Gadsden), AL - Marshall, AL",296751,0.5,1.7,16.62,Low,2022-05-19T07:00:00Z
Lafayette County,05073,Arkansas,6624,404,"Bowie (Texarkana), TX - Miller, AR",248210,2,3.2,60.39,Low,2022-03-10T07:00:00Z
Bienville Parish,22013,Louisiana,13241,439,"Lincoln, LA - Union, LA",97835,0.7,3.1,264.33,Medium,2022-08-25T07:00:00Z
Alfalfa County,40003,Oklahoma,5702,429,"Garfield (Enid), OK - Kingfisher, OK",112707,0.9,2.7,0,Low,2022-03-24T07:00:00Z
Gloucester County,51073,Virginia,37348,5,"Newport News City, VA - Hampton City, VA",531945,2,0.9,64.26,Low,2022-03-10T07:00:00Z
Harrison County,48203,Texas,66553,485,"Harrison (Marshall), TX - Cass, TX",106433,NA,NA,210.36,NA,2022-07-07T07:00:00Z
Owsley County,21189,Kentucky,4415,18,"Fayette (Lexington-Fayette), KY - Jessamine, KY",591673,1.5,5.1,0,Low,2022-05-12T07:00:00Z
Tripp County,46123,South Dakota,5441,595,"Todd, SD - Tripp, SD",23783,0.5,4.2,147.03,Low,2022-03-03T07:00:00Z
